Fighter,Result,Opponent,Event,Date,Method,Rounds,Time
Vladimir Katykhin,win,Dzhanybek Ullu Samat,WH - Igor Vovchanchyn Cup,May / 25 / 2012,TKO (Punches),1,0:17
Vladimir Katykhin,win,Anatoly Safronov,CWFC 46 - Cage Warriors Fighting Championship 46,Feb / 23 / 2012,Submission (Rear-Naked Choke),2,0:41
Vladimir Katykhin,loss,Gregory Babene,Aug / 05 / 2011,Aug / 05 / 2011,Decision (Unanimous),2,5:00
Vladimir Katykhin,win,Pavel Pokatilov,WH - Warrior's Honor 3,May / 27 / 2011,Decision (Unanimous),2,5:00
Vladimir Katykhin,win,Alkhas Mukba,ProFC / GM Fight - Ukraine Cup 1,Apr / 15 / 2011,TKO (Punches),1,3:14
Vladimir Katykhin,win,Gabriel Kitober,IWC - Israel Warrior Challenge 9,Mar / 03 / 2011,TKO (Kicks),2,3:40
Vladimir Katykhin,win,Alkhas Mukba,FNS - Fight Night Simferopol,Dec / 19 / 2010,Submission (Armbar),1,0:00
Vladimir Katykhin,win,Aleksandr Amchesov,BF - Baltic Fights,Oct / 16 / 2010,Submission (Rear-Naked Choke),1,2:40
Vladimir Katykhin,win,Dzhamal Ibragimgadzhiev,LM - Tournament 2,Jun / 18 / 2010,KO (Knee),2,1:34
Vladimir Katykhin,win,Vahe Tadevosyan,ProFC - Union Nation Cup 4,Dec / 19 / 2009,Submission (Triangle Choke),1,2:25
Tursunbek Asylgaziev,loss,Lom-Ali Nalgiev,Nov / 17 / 2018,Nov / 17 / 2018,Decision (Unanimous),3,5:00
Tursunbek Asylgaziev,win,Tabriz Bashirov,Ultimax FC 2 - World Ultimax Championship 2017,Mar / 26 / 2017,Submission,2,N/A
Tursunbek Asylgaziev,loss,Denis Izmodenov,Apr / 22 / 2016,Apr / 22 / 2016,Decision (Unanimous),3,5:00
Tursunbek Asylgaziev,loss,Tagir Malikov,Jun / 27 / 2014,Jun / 27 / 2014,TKO (Punches),2,2:09
Tursunbek Asylgaziev,win,Leonid Begunov,No. 1 Martial Arts Club - Beginning of the Road: Finals,Nov / 22 / 2013,Decision (Unanimous),3,5:00
Tursunbek Asylgaziev,loss,Yuri Izotov,Apr / 14 / 2013,Apr / 14 / 2013,TKO (Punches),1,1:04
Tursunbek Asylgaziev,loss,Vener Galiev,Nov / 05 / 2011,Nov / 05 / 2011,TKO (Punches),2,0:00
Tursunbek Asylgaziev,win,Etigat Atakishiev,Iron Mountain - Absolute Fighting Open Cup 7,Jul / 22 / 2011,Submission (Armbar),1,1:39
Tursunbek Asylgaziev,win,Daniyar Kamalov,Er-Taymash Kulatuu - Ertaymash Kulatuu Valetudo,Nov / 08 / 2009,TKO (Towel),3,1:17
Tursunbek Asylgaziev,win,Ibrat Abdumuhitov,Batyr Bashy - National Tournament 2,Sep / 30 / 2018,Submission (Triangle Choke),2,3:16
Tursunbek Asylgaziev,win,Willian Santos,Jash-Kuch Fighting Championship - JFC 2016 Fight Night,Oct / 15 / 2016,Submission (Kimura),3,0:48
Tursunbek Asylgaziev,win,Joao Carlos Siqueira,Jash-Kuch Fighting Championship - JFC 2015 Fight Night,Sep / 19 / 2015,Decision (Unanimous),3,5:00
Tursunbek Asylgaziev,loss,Alexander Makovoz,Nov / 16 / 2013,Nov / 16 / 2013,Decision (Unanimous),2,5:00
Tursunbek Asylgaziev,loss,Faisaly Tobatov,Jul / 13 / 2012,Jul / 13 / 2012,TKO (Corner Stoppage),1,5:00
Tursunbek Asylgaziev,win,Zhumageldy Zhetpisbayev,Iron Mountain - Absolute Fighting Open Cup 7,Jul / 22 / 2011,TKO (Punches),1,1:32
Tursunbek Asylgaziev,win,Aibek Sharip,Er-Taymash Kulatuu - ErTaymash Kulatuu Valetudo,Mar / 12 / 2011,Submission (Armbar),1,2:09
Tursunbek Asylgaziev,win,Mukhamed Irfaziev,Kazakhstan Federation of Pankration - Borovoe Battle,Aug / 23 / 2008,Submission (Brabo Choke),1,1:50
Bagautdin Abasov,loss,Mehdi Dakaev,Dec / 06 / 2019,Dec / 06 / 2019,Decision (Unanimous),3,5:00
Bagautdin Abasov,win,Daniyar Kolbaev,Fight Championship Aslan - ,Jun / 29 / 2019,Decision (Unanimous),3,5:00
Bagautdin Abasov,draw,Uzair Abdurakov,Battle Promotion - Battle 1,Mar / 03 / 2019,Draw,3,5:00
Bagautdin Abasov,loss,Lipeng Zhang,Apr / 01 / 2018,Apr / 01 / 2018,Submission (Rear-Naked Choke),2,3:07
Bagautdin Abasov,win,Sergio Souza,OFS 12 - Octagon Fighting Sensation 12,Dec / 10 / 2017,TKO (Punches),2,2:05
Bagautdin Abasov,win,Kristian Udarov,OFS 11 - Octagon Fighting Sensation 11,Mar / 04 / 2017,TKO (Punches),1,0:36
Bagautdin Abasov,win,Samat Emilbekov,WEF 6 - Grand Prix 2016,Oct / 22 / 2016,Decision (Majority),5,5:00
Bagautdin Abasov,win,Munar Toktobolotov,WEF ProfFight 8 - Battle in Arbat,Oct / 01 / 2016,TKO (Punches),1,2:18
Bagautdin Abasov,loss,Eldar Khashpakov,May / 25 / 2013,May / 25 / 2013,Decision (Unanimous),3,5:00
Bagautdin Abasov,win,Aleksandr Galtsev,FEFoMP - Stage of Championship of Russia in Pankration,Apr / 20 / 2013,TKO (Punches),1,3:50
Bagautdin Abasov,win,Anton Fedorov,Fight Nights - Battle of Moscow 5,Nov / 05 / 2011,Decision (Unanimous),2,5:00
Bagautdin Abasov,win,Timur Khatefov,WUFC - World Ultimate Full Contact 15,Aug / 22 / 2009,Decision (Unanimous),2,5:00
Bagautdin Abasov,loss,Rustam Khabilov,Aug / 03 / 2007,Aug / 03 / 2007,Submission (Triangle Choke),2,2:14
Bagautdin Abasov,win,Alymbek Temirov,FCA - World Fight League 3,Oct / 25 / 2019,TKO ,3,4:01
Bagautdin Abasov,win,Dmitriy Gavrilov,Fight Championship Aslan - ,Jun / 29 / 2019,Decision (Unanimous),3,5:00
Bagautdin Abasov,win,Mikhail Romanchyuk,FCA - Kaliningrad Challenge,Jan / 25 / 2019,Decision (Unanimous),3,5:00
Bagautdin Abasov,win,Teerjiang Hasitieer,KLF - Kunlun Fight 70,Mar / 11 / 2018,KO (Punch),1,1:22
Bagautdin Abasov,win,Sejila Hu,LKC - The Legend King Championship 3,Aug / 26 / 2017,Decision (Unanimous),3,5:00
Bagautdin Abasov,loss,Shamil Zavurov,Dec / 10 / 2016,Dec / 10 / 2016,Decision (Unanimous),5,5:00
Bagautdin Abasov,win,Arsen Magomedov,OFS 9 - Battle in Abkhazia,Oct / 06 / 2016,Decision (Unanimous),3,5:00
Bagautdin Abasov,win,Alexandr Shmelev,Solovyov Team Promotion - Cup of Champions 2013,Jun / 24 / 2013,Submission (Armbar),1,4:12
Bagautdin Abasov,win,Anton Fedorov,FEFoMP - Stage of Championship of Russia in Pankration,Apr / 20 / 2013,Decision (Unanimous),2,5:00
Bagautdin Abasov,win,Tautvydas Lileikis,Era VIP Promotion - Era of Champions,Mar / 14 / 2013,TKO (Punches),1,4:16
Bagautdin Abasov,win,Artur Odilbekov,SVS MMA - Commonwealth Cup 2012,Dec / 08 / 2012,KO (Punches),1,2:51
Bagautdin Abasov,win,Ivan Kosov,Fight Nights - Battle of Moscow 4,Jul / 07 / 2011,Decision (Unanimous),2,5:00
Bagautdin Abasov,win,Sebastian Eriksson,WUFC - World Ultimate Full Contact 15,Aug / 22 / 2009,Decision (Unanimous),1,10:00
Artiom Yamschitov,win,Timur Gulyamov,MMA Sever - Parma Fights 10,Nov / 30 / 2019,TKO (Punches),1,0:00
Artiom Yamschitov,win,Mikhail Popov,White Rex - Warriors Spirit 33,Oct / 26 / 2014,Submission (Rear-Naked Choke),1,4:27
Artiom Yamschitov,loss,Andrey Shcheglov,Nov / 23 / 2013,Nov / 23 / 2013,Decision (Unanimous),2,5:00
Artiom Yamschitov,win,Vladimir Eryomin,Parma Fights 2 - Initiation,Feb / 11 / 2012,Decision (Unanimous),3,3:00
Artiom Yamschitov,loss,Alexander Strogiy,Sep / 22 / 2017,Sep / 22 / 2017,Submission (Armbar),1,0:52
Artiom Yamschitov,win,Timofey Vedernikov,Parma Fights 5 - Rise of the North,Dec / 13 / 2014,KO (Punch),2,0:34
Artiom Yamschitov,win,Leonid Chikarenko,Parma Fights - Road to Parma Fights 1: Gray Ural Pro 2014,Mar / 05 / 2014,TKO (Punches),1,2:58
Artiom Yamschitov,win,Ivan Turkin,Parma Fights 2 - Initiation,Feb / 11 / 2012,Submission (Kimura),1,2:25
Khabib Nurmagomedov,win,Dustin Poirier,UFC 242 - Khabib vs. Poirier,Sep / 07 / 2019,Submission (Rear-Naked Choke),3,2:06
Khabib Nurmagomedov,win,Al Iaquinta,UFC 223 - Khabib vs. Iaquinta,Apr / 07 / 2018,Decision (Unanimous),5,5:00
Khabib Nurmagomedov,win,Michael Johnson,UFC 205 - Alvarez vs. McGregor,Nov / 12 / 2016,Submission (Kimura),3,2:31
Khabib Nurmagomedov,win,Rafael dos Anjos,UFC on Fox 11 - Werdum vs. Browne,Apr / 19 / 2014,Decision (Unanimous),3,5:00
Khabib Nurmagomedov,win,Abel Trujillo,UFC 160 - Velasquez vs. Bigfoot 2,May / 25 / 2013,Decision (Unanimous),3,5:00
Khabib Nurmagomedov,win,Gleison Tibau,UFC 148 - Silva vs. Sonnen 2,Jul / 07 / 2012,Decision (Unanimous),3,5:00
Khabib Nurmagomedov,win,Arymarcel Santos,ProFC - Battle in the Caucasus,Oct / 22 / 2011,TKO (Punches),1,3:33
Khabib Nurmagomedov,win,Hamiz Mamedov,ProFC - Battle on Don,Aug / 05 / 2011,Submission (Triangle Choke),1,3:51
Khabib Nurmagomedov,win,Ashot Shahinyan,ProFC - Union Nation Cup 15,May / 06 / 2011,KO (Punches),1,2:18
Khabib Nurmagomedov,win,Alexander Agafonov,M-1 Selection Ukraine 2010 - The Finals,Feb / 12 / 2011,TKO (Corner Stoppage),2,5:00
Khabib Nurmagomedov,win,Ali Bagov,GFP - Golden Fist Russia,Jun / 10 / 2010,Decision (Unanimous),2,5:00
Khabib Nurmagomedov,win,Eldar Eldarov,TFC 3 - Tsumada Fighting Championship,Aug / 08 / 2009,TKO (Punches),2,2:44
Khabib Nurmagomedov,win,Shamil Abdulkerimov,PAC - Pancration Atrium Cup 1,Oct / 11 / 2008,Decision (Unanimous),2,5:00
Khabib Nurmagomedov,win,Magomed Magomedov,PAC - Pancration Atrium Cup 1,Oct / 11 / 2008,Decision (Unanimous),2,5:00
Khabib Nurmagomedov,win,Conor McGregor,UFC 229 - Nurmagomedov vs. McGregor,Oct / 06 / 2018,Submission (Neck Crank),4,3:03
Khabib Nurmagomedov,win,Edson Barboza,UFC 219 - Cyborg vs. Holm,Dec / 30 / 2017,Decision (Unanimous),3,5:00
Khabib Nurmagomedov,win,Darrell Horcher,UFC on Fox 19 - Teixeira vs. Evans,Apr / 16 / 2016,TKO (Punches),2,3:38
Khabib Nurmagomedov,win,Pat Healy,UFC 165 - Jones vs. Gustafsson,Sep / 21 / 2013,Decision (Unanimous),3,5:00
Khabib Nurmagomedov,win,Thiago Tavares,UFC on FX 7 - Belfort vs. Bisping,Jan / 19 / 2013,TKO (Punches and Elbows),1,1:55
Khabib Nurmagomedov,win,Kamal Shalorus,UFC on FX - Guillard vs. Miller,Jan / 20 / 2012,Submission (Rear-Naked Choke),3,2:08
Khabib Nurmagomedov,win,Kadzhik Abadzhyan,ProFC - Union Nation Cup Final,Jul / 02 / 2011,Submission (Triangle Choke),1,4:28
Khabib Nurmagomedov,win,Said Khalilov,ProFC - Union Nation Cup 14,Apr / 09 / 2011,Submission (Kimura),1,3:16
Khabib Nurmagomedov,win,Vitaliy Ostrovskiy,M-1 Selection Ukraine 2010 - Clash of the Titans,Sep / 18 / 2010,TKO (Punches),1,4:06
Khabib Nurmagomedov,win,Shahbulat Shamhalaev,M-1 Challenge - 2009 Selections 9,Nov / 03 / 2009,Submission (Armbar),1,4:36
Khabib Nurmagomedov,win,Said Akhmed,TFC 3 - Tsumada Fighting Championship,Aug / 08 / 2009,TKO (Punches),1,2:05
Khabib Nurmagomedov,win,Ramazan Kurbanismailov,PAC - Pancration Atrium Cup 1,Oct / 11 / 2008,Decision (Unanimous),2,5:00
Khabib Nurmagomedov,win,Vusal Bayramov,CSFU - Champions League,Sep / 13 / 2008,Submission (Triangle Choke),1,2:20
Ion Surdu,loss,Kevin Ruart,Jul / 27 / 2020,Jul / 27 / 2020,KO (Punches),1,3:14
Ion Surdu,win,Gabriel Conti,UFT - Ultimate Fighting Tournament 8,Oct / 10 / 2019,TKO (Punches),1,3:03
Ion Surdu,win,Velimir Nestorovic,RXF 31 - Cluj-Napoca,Oct / 01 / 2018,TKO (Punches),1,1:14
Ion Surdu,win,Florin Lambagiu,RMMAF Series 12 - Divizia MMA: Pascu vs. Markovic,Oct / 31 / 2016,Decision (Unanimous),3,5:00
Ion Surdu,win,Dumitru Jalba,UFT - Ultimate Fighting Tournament 5,Apr / 15 / 2016,TKO (Punches),1,N/A
Ion Surdu,win,Farzad Ghaderi,RXF 37 - All Stars,Dec / 16 / 2019,TKO (Punches),2,4:08
Ion Surdu,win,Stanislav Enchev,UFT - Ultimate Fighting Tournament 7,Nov / 23 / 2018,TKO (Punches),1,2:20
Ion Surdu,win,Farzad Ghaderi,RXF 30 - Bucharest,Aug / 20 / 2018,TKO (Punches),1,3:40
Ion Surdu,win,Mihai Vasile Catalin,UFT - Ultimate Fighting Tournament 6,May / 05 / 2017,TKO (Punches),1,N/A
Arslan Eslemesov,win,Egor  Ivanov,EFC - Eagles Elimination,Oct / 26 / 2019,Submission,1,0:00
Arslan Eslemesov,win,Nicolae Scorokhod,Eagles FC 7 - Eagles Fighting Championship 7,Nov / 04 / 2017,Submission,2,4:54
Arslan Eslemesov,win,Shahvelad Mamedov,SFC - Legacy of Sparta 2,Aug / 14 / 2016,Submission (Anaconda Choke),1,4:02
Arslan Eslemesov,loss,Vadim Kutsyj,Oct / 03 / 2015,Oct / 03 / 2015,Submission (Rear-Naked Choke),1,2:09
Arslan Eslemesov,win,Anton Matveichuk,Tambov MMA Federation - Tambov Open Cup 2014,Jun / 06 / 2014,TKO (Punches),1,2:24
Arslan Eslemesov,win,Lasha Roinishvily,No. 1 Martial Arts Club - Beginning of the Road: Finals,Nov / 22 / 2013,TKO (Punches),1,2:29
Arslan Eslemesov,win,Nenad Avramovic,Eagles FC 11 - Eagles Fighting Championship 11,Feb / 16 / 2019,Decision (Unanimous),3,5:00
Arslan Eslemesov,loss,Grachik Bozinyan,May / 20 / 2016,May / 20 / 2016,Submission (Triangle Choke),1,1:43
Arslan Eslemesov,win,Ruslan    Magomedov,OFS - Octagon Fighting Sensation 3,Feb / 28 / 2015,Submission (Armbar),2,0:46
Arslan Eslemesov,win,Roman Silkin,Fight Alliance Promotions - Gladiator Fighting 1,Apr / 05 / 2014,TKO (Punches),1,4:20
Arslan Eslemesov,win,Imin Gasanbekov,No. 1 Martial Arts Club - Beginning of the Road: Quarterfinals,Sep / 22 / 2013,Decision (Unanimous),2,5:00
Corey Watson,win,Adam Walkemeyer,SFL 41 - SFL America 5,Jul / 11 / 2015,Submission (Arm-Triangle Choke),1,1:19
Corey Watson,win,Trent Tyler,CS - CageSport 30,May / 03 / 2014,Submission (Guillotine Choke),2,0:28
Corey Watson,loss,Tyson Cunningham,Feb / 18 / 2012,Feb / 18 / 2012,Submission (Short Choke),2,2:33
Corey Watson,win,Esteban Salazar,FNE - Round 15 - Armed Forces,Jul / 09 / 2011,Submission (Guillotine Choke),1,0:38
Corey Watson,win,Shane Friesz,ROTR - Rumble on the Ridge 21,Dec / 10 / 2011,Submission (Rear-Naked Choke),1,2:41
Nick Coughran,win,Ash Mashreghi,BFL 55 - Battlefield Fight League,May / 26 / 2018,Submission (Rear-Naked Choke),1,2:38
Nick Coughran,loss,Albert Tadevosyan,Oct / 25 / 2014,Oct / 25 / 2014,TKO (Punches),2,3:56
Nick Coughran,loss,Steve Simpson,Dec / 07 / 2013,Dec / 07 / 2013,Submission (Armbar),1,2:37
Nick Coughran,loss,Jared Revel,Jul / 14 / 2018,Jul / 14 / 2018,Submission (Rear-Naked Choke),1,3:49
Nick Coughran,win,Jorge Cordoba,CS - CageSport 46,Jul / 15 / 2017,Submission (Rear-Naked Choke),1,2:15
Nick Coughran,loss,Ryan Schecterson,Feb / 20 / 2016,Feb / 20 / 2016,Decision (Unanimous),3,5:00
Nick Coughran,loss,Ben Fodor,Apr / 06 / 2014,Apr / 06 / 2014,TKO (Punches),2,4:45
Dylan Potter,win,Charles Brown,WXC 85 - Warrior Wednesday 10,Dec / 18 / 2019,TKO (Punches),1,2:20
Dylan Potter,win,Jared Torgeson,Dominate FC - Dominate Fighting Championship,Feb / 24 / 2018,Submission (Guillotine Choke),4,2:42
Dylan Potter,win,Nick Biron,KOTC - Headstrong,May / 27 / 2017,Submission (Rear-Naked Choke),1,2:22
Dylan Potter,loss,Thomas Hoeper,Jul / 23 / 2016,Jul / 23 / 2016,TKO (Punches),2,4:27
Dylan Potter,win,Robert Burgess,SFL 46 - SFL America 8,Feb / 20 / 2016,Submission (Armbar),2,2:20
Dylan Potter,win,Chris Aparicio,SFL 44 - SFL America 6,Sep / 26 / 2015,Submission (Armbar),1,1:34
Dylan Potter,loss,Anthony Hamilton,Sep / 15 / 2018,Sep / 15 / 2018,Decision (Unanimous),5,5:00
Dylan Potter,loss,Ronny Markes,Aug / 05 / 2017,Aug / 05 / 2017,Submission (Arm-Triangle Choke),1,2:29
Dylan Potter,loss,Mike Persons,Oct / 22 / 2016,Oct / 22 / 2016,TKO (Punches),3,3:19
Dylan Potter,win,Frankie Orr,Reign Promotions - Reign Fighting Championships,Jun / 18 / 2016,Submission (Triangle Choke),1,3:10
Ramili Zakirov,loss,Dzeighun Аbasszade,Sep / 26 / 2012,Sep / 26 / 2012,TKO (Punches),2,4:05
Kiichi Kunimoto,loss,Jason Jackson,Dec / 21 / 2019,Dec / 21 / 2019,Decision (Unanimous),3,5:00
Kiichi Kunimoto,win,Ryuichiro Sumimura,Rizin FF - Rizin 12,Aug / 12 / 2018,Technical Submission (Arm-Triangle Choke),1,4:59
Kiichi Kunimoto,loss,Zak Ottow,Jun / 10 / 2017,Jun / 10 / 2017,Decision (Split),3,5:00
Kiichi Kunimoto,win,Richard Walsh,UFC Fight Night 52 - Hunt vs. Nelson,Sep / 20 / 2014,Decision (Split),3,5:00
Kiichi Kunimoto,win,Luiz Jorge Dutra Jr.,UFC Fight Night 34 - Saffiedine vs. Lim,Jan / 04 / 2014,DQ (Elbows to Back of Head),1,2:57
Kiichi Kunimoto,win,Fumitoshi Ishikawa,Heat - Heat 26,Mar / 31 / 2013,Submission (Arm-Triangle Choke),5,1:59
Kiichi Kunimoto,win,Sung Won Son,Heat - Heat 23,Jun / 23 / 2012,Decision (Unanimous),3,5:00
Kiichi Kunimoto,win,Yu Shiori,Pancrase - Impressive Tour 12,Nov / 27 / 2011,Submission (Guillotine Choke),2,0:40
Kiichi Kunimoto,draw,Seiki Ryo,Pancrase - Passion Tour 7,Aug / 08 / 2010,Draw,2,5:00
Kiichi Kunimoto,win,Yoshifumi Dogaki,Pancrase - Changing Tour 7,Nov / 08 / 2009,TKO (Punches),2,0:39
Kiichi Kunimoto,win,Shingo Suzuki,Pancrase - Changing Tour 1,Feb / 01 / 2009,Technical Submission (Arm-Triangle Choke),1,3:00
Kiichi Kunimoto,NC,Hirotaka Yoshioka,Pancrase - Shining 7,Sep / 07 / 2008,NC (Yoshioka Cut by Accidental Headbutt),1,2:10
Kiichi Kunimoto,loss,Sotaro Yamada,Jan / 30 / 2008,Jan / 30 / 2008,Submission (Rear-Naked Choke),1,1:42
Kiichi Kunimoto,win,Mike O'Malley,FCC 30 - Freestyle Combat Challenge 30,Sep / 01 / 2007,Submission (Triangle Choke),1,2:33
Kiichi Kunimoto,loss,Masahiro Toryu,Feb / 04 / 2007,Feb / 04 / 2007,Decision (Majority),2,5:00
Kiichi Kunimoto,win,Arito Kishimoto,Double R - 3rd Stage,Apr / 29 / 2006,Decision (Majority),1,5:00
Kiichi Kunimoto,win,Satoru Kitaoka,Rizin Fighting World Grand Prix 2017 - Bantamweight Tournament: 2nd Round,Dec / 29 / 2017,Decision (Unanimous),2,5:00
Kiichi Kunimoto,loss,Neil Magny,Feb / 14 / 2015,Feb / 14 / 2015,Submission (Rear-Naked Choke),3,1:22
Kiichi Kunimoto,win,Daniel Sarafian,UFC 174 - Johnson vs. Bagautinov,Jun / 14 / 2014,Submission (Rear-Naked Choke),1,2:52
Kiichi Kunimoto,win,Edward Faaloloto,Heat - Heat 27,Jul / 28 / 2013,Submission (Armbar),1,1:55
Kiichi Kunimoto,win,Gyu Myung Lee,Heat - Heat 25,Nov / 18 / 2012,Submission (Shoulder Choke),1,4:40
Kiichi Kunimoto,loss,Takenori Sato,Mar / 11 / 2012,Mar / 11 / 2012,Decision (Unanimous),3,5:00
Kiichi Kunimoto,win,Kengo Ura,Pancrase - Impressive Tour 4,May / 03 / 2011,Decision (Unanimous),3,5:00
Kiichi Kunimoto,draw,Tomoyoshi Iwamiya,Mar / 22 / 2010,Mar / 22 / 2010,Draw,3,5:00
Kiichi Kunimoto,win,Hiroki Tanaka,Powergate - Octave,Apr / 19 / 2009,Decision (Unanimous),2,5:00
Kiichi Kunimoto,loss,Tomoyoshi Iwamiya,Oct / 26 / 2008,Oct / 26 / 2008,Decision (Unanimous),2,5:00
Kiichi Kunimoto,win,Yu Shiori,Pancrase - Shining 4,May / 25 / 2008,Decision (Unanimous),2,5:00
Kiichi Kunimoto,win,Yuta Nakamura,Pancrase - Rising 7,Sep / 30 / 2007,TKO (Punches),1,3:27
Kiichi Kunimoto,win,Tim Ager,FCC 29 - Freestyle Combat Challenge 29,Aug / 11 / 2007,Submission (Armbar),1,0:00
Kiichi Kunimoto,win,Teruyoshi Aoyama,Pancrase - Blow 8,Oct / 01 / 2006,Submission (Arm-Triangle Choke),2,2:58
Kiichi Kunimoto,loss,Masahiro Toryu,Mar / 19 / 2006,Mar / 19 / 2006,KO (Head Kick),1,0:05
Andy Murad,win,Johnny Cisneros,Bellator 160 - Henderson vs. Pitbull,Aug / 26 / 2016,Decision (Unanimous),3,5:00
Andy Murad,win,Chad Herrick,KOP 49 - Nash vs. Homasi,Jun / 10 / 2016,Decision (Unanimous),3,5:00
Andy Murad,win,Matt McOmie,Gladiator Challenge - Champions,Oct / 24 / 2015,TKO (Punches),1,1:21
Andy Murad,win,Bubba Pugh,Bellator 131 - Tito vs. Bonnar,Nov / 15 / 2014,Decision (Split),3,5:00
Andy Murad,win,Daniel McWilliams,Gladiator Challenge - Backlash,May / 31 / 2014,TKO (Punches),3,2:47
Andy Murad,loss,Gavin Sterritt,Sep / 13 / 2013,Sep / 13 / 2013,Decision (Split),3,5:00
Andy Murad,win,Tsuyoshi Holder,Xplode Fight Series - Vengeance,Jan / 19 / 2013,Decision (Split),3,5:00
Andy Murad,win,Mike Lemaire,KOTC - Legends,Jun / 06 / 2009,Decision (Unanimous),3,5:00
Andy Murad,win,Saldana Clemente,KOTC 27 - Aftermath,Aug / 10 / 2003,TKO (Punches),1,1:25
Andy Murad,win,Idrees Wasi,Gladiator Challenge - Fight Fest,Jun / 17 / 2017,Submission (Choke),1,2:28
Andy Murad,win,Jamiah Williamson,Gladiator Challenge - Freedom Strikes,Jul / 23 / 2016,Submission (Keylock),2,1:14
Andy Murad,win,Marquise Spears,Gladiator Challenge - MMA Smackdown,Apr / 02 / 2016,Submission (Guillotine Choke),2,2:12
Andy Murad,win,Roman Bellow,Gladiator Challenge - Warrior's,Mar / 07 / 2015,Submission (Triangle Choke),1,0:36
Andy Murad,win,Brandon Collins,Gladiator Challenge - Battle Ready,Aug / 23 / 2014,Decision (Unanimous),3,5:00
Andy Murad,loss,Ricky Rainey,Apr / 11 / 2014,Apr / 11 / 2014,TKO (Punches),1,1:11
Andy Murad,win,Justin Carr,Xplode Fight Series - Devastation,May / 18 / 2013,Submission (Reverse Triangle Choke),1,0:35
Andy Murad,win,Mark McCaw,NFC - Native Fighting Championship 11,Jan / 20 / 2012,TKO (Punches),3,1:15
Andy Murad,win,Ray Lizama,KOTC 39 - Hitmaster,Aug / 06 / 2004,Decision (Majority),2,5:00
Chris Dempsey,loss,Scott Askham,Feb / 27 / 2016,Feb / 27 / 2016,TKO (Punch and Head Kick),1,4:45
Chris Dempsey,win,Eddie Gordon,UFC on Fox 15 - Machida vs. Rockhold,Apr / 18 / 2015,Decision (Split),3,5:00
Chris Dempsey,win,Nick Kraus,Gladiators of the Cage - The Road to Glory 6,May / 03 / 2014,TKO (Punches),3,4:11
Chris Dempsey,win,Tiawan Howard,Gladiators of the Cage - The North Shore's Rise to Power 3,Dec / 07 / 2013,Submission (North-South Choke),1,4:51
Chris Dempsey,win,Lewis Rumsey,Gladiators of the Cage - The North Shore's Rise to Power 2,Jul / 20 / 2013,Decision (Unanimous),3,5:00
Chris Dempsey,win,Christopher Wing,Xtreme Caged Combat - Mayhem,Feb / 16 / 2013,Decision (Unanimous),3,5:00
Chris Dempsey,loss,Mojtaba Najim Wali,Sep / 08 / 2012,Sep / 08 / 2012,Submission (Armbar),3,1:45
Chris Dempsey,win,Eddie Hardison,AMMAFL 4 - Fight Night,Feb / 17 / 2012,Submission (Rear-Naked Choke),2,2:57
Chris Dempsey,win,Jay Murphy,NAAFS - Proving Ground MMA Series 8,Jun / 25 / 2011,TKO (Punches),2,2:08
Chris Dempsey,loss,Adam Hunter,Jun / 04 / 2016,Jun / 04 / 2016,KO (Punches),1,0:40
Chris Dempsey,loss,Jonathan Wilson,Aug / 08 / 2015,Aug / 08 / 2015,KO (Punches),1,0:50
Chris Dempsey,loss,Ilir Latifi,Jul / 19 / 2014,Jul / 19 / 2014,KO (Punches),1,2:07
Chris Dempsey,win,Muhammad Abdullah,Gladiators of the Cage - The North Shore's Rise to Power 4,Mar / 15 / 2014,Submission (Guillotine Choke),2,0:56
Chris Dempsey,win,Tenyeh Dixon,Gladiators of the Cage - The Road to Glory 5,Sep / 07 / 2013,TKO (Punches),2,1:27
Chris Dempsey,win,Dervin Lopez,Gladiators of the Cage - The Road to Glory 4,Apr / 06 / 2013,Decision (Unanimous),3,5:00
Chris Dempsey,win,Chase Owens,Gladiators of the Cage - The North Shore's Rise to Power,Jan / 26 / 2013,Decision (Unanimous),3,5:00
Chris Dempsey,win,Marcus Finch,Gladiators of the Cage - The Road to Glory 2,Apr / 14 / 2012,Decision (Split),3,5:00
Chris Dempsey,win,Jared Kamholtz,IWFC - Iron Will Fighting Championship 5,Apr / 02 / 2011,Submission (Rear-Naked Choke),2,1:21
Emanuele Palombi,loss,Cristian Magro,Oct / 20 / 2018,Oct / 20 / 2018,KO,1,00:14
Emanuele Palombi,loss,Angelo Marchesani Di Spalatro,Jul / 29 / 2017,Jul / 29 / 2017,KO (Punch),1,1:25
Emanuele Palombi,loss,Massimiliano Sammarco,May / 13 / 2017,May / 13 / 2017,Decision (Unanimous),3,5:00
Emanuele Palombi,win,Tony Zanko,PNFC - Fight Day Gala,Nov / 05 / 2016,TKO (Elbows),1,4:15
Emanuele Palombi,win,Davide Caruso,Legio's Arena 2 - Road to Bellator,Jun / 11 / 2016,KO (Knee),1,1:57
Emanuele Palombi,win,Simone Marcon,PNFC - Power Nation Fighting Championship 6,Dec / 20 / 2015,TKO (Punches),3,4:32
Emanuele Palombi,loss,Tommaso Silvestrin,Jun / 02 / 2015,Jun / 02 / 2015,Decision (Unanimous),3,5:00
Emanuele Palombi,win,Diego Pallavicini,Manerba Fight Night - RDCXXIII,Apr / 21 / 2018,Submission (Rear Naked Choke),2,2:25
