R_Fighter,R_Total_Fights,R_Win_Percentage,R_Method_1_prev,R_Rounds_1_prev,R_Winner_1_prev,R_Prev_Fight_days,B_Fighter,B_Total_Fights,B_Win_Percentage,B_Method_1_prev,B_Rounds_1_prev,B_Winner_1_prev,B_Prev_Fight_days,Win_Method,Winner
Gerald Harris,25,0.8,Split Decision,3,True,1210,Aaron Cobb,13,0.6923076923076923,Submission,1,True,1364,KO,1.0
Gerald Harris,23,0.8260869565217391,Split Decision,3,True,176,Joshua Burkman,30,0.7,Submission,2,True,70,Split Decision,0.0
Gerald Harris,21,0.8095238095238095,Split Decision,3,True,153,Eric Davila,31,0.6451612903225806,Submission,1,False,90,Split Decision,1.0
Gerald Harris,19,0.7894736842105263,Split Decision,3,False,70,Anthony    Ruiz,40,0.625,Submission,2,False,168,Split Decision,1.0
Gerald Harris,17,0.8235294117647058,KO,1,True,168,Nissen Osterneck,9,0.7777777777777778,Submission,1,True,56,KO,1.0
Gerald Harris,15,0.8,TKO,1,True,76,Travis Doerge,11,0.36363636363636365,TKO,1,False,161,Submission,1.0
Gerald Harris,13,0.7692307692307693,TKO,1,True,35,Mitch Whitesel,19,0.5263157894736842,TKO,1,False,57,Split Decision,1.0
Gerald Harris,9,0.7777777777777778,TKO,1,False,93,Jeremija Sanders,5,0.6,Submission,1,True,98,TKO,1.0
Gerald Harris,7,1.0,KO,1,True,21,Fabio Leopoldo,5,0.8,Submission,1,True,49,Split Decision,0.0
Gerald Harris,5,1.0,KO,1,True,28,Travis Fowler,10,0.6,Submission,1,False,126,Split Decision,1.0
Gerald Harris,3,1.0,TKO,2,True,34,Bubba McDaniel,7,0.8571428571428571,Submission,2,True,34,TKO,1.0
Gerald Harris,1,1.0,TKO,2,True,8,Chester Lauchner,1,0.0,TKO,2,False,56,Submission,1.0
Gerald Harris,10,0.8,TKO,1,True,85,Mike Marrello,11,0.9090909090909091,Submission,1,True,57,Split Decision,1.0
Diogo Cavalcanti,9,0.8888888888888888,KO,1,True,287,Ciro Rodrigues,23,0.7391304347826086,Submission,2,True,237,Split Decision,0.0
Diogo Cavalcanti,7,0.8571428571428571,Submission,1,True,70,Paulo      Silva,21,0.5238095238095238,Submission,1,False,28,Submission,1.0
Diogo Cavalcanti,5,0.8,Split Decision,3,False,377,Deivid Daniel dos Santos,11,0.36363636363636365,KO,1,False,223,TKO,1.0
Diogo Cavalcanti,3,1.0,Submission,2,True,218,Janio Carvalho dos Santos,1,0.0,KO,1,False,133,TKO,1.0
Diogo Cavalcanti,1,1.0,Submission,1,True,76,Thiago Oliveira,5,0.8,Submission,3,True,76,Submission,1.0
Diogo Cavalcanti,10,0.8,Split Decision,3,False,315,Michel Silva,20,0.8,Split Decision,3,False,98,TKO,0.0
Diogo Cavalcanti,8,0.875,Submission,1,True,281,Anderson de Queiroz Diniz,13,0.7692307692307693,Split Decision,3,True,148,KO,1.0
Diogo Cavalcanti,6,0.8333333333333334,TKO,1,True,133,Carlos Prates,4,0.75,Split Decision,3,True,132,Submission,1.0
Diogo Cavalcanti,4,1.0,TKO,1,True,133,Deivison Francisco Ribeiro,27,0.7037037037037037,Split Decision,3,True,72,Split Decision,0.0
Diogo Cavalcanti,2,1.0,Submission,1,True,189,Josimar Ventura da Silva,1,0.0,Split Decision,3,False,194,Submission,1.0
Islam Berzegov,1,0.0,Submission,1,False,109,Nazir Kadyzhev,1,0.0,Submission,1,False,78,Submission,0.0
Ravil Risaev,6,0.0,TKO,1,False,205,Jonibek Farmonov,1,0.0,Submission,1,False,674,TKO,0.0
Ravil Risaev,4,0.0,Submission,1,False,353,Abylkasym Yakubov,4,0.75,Submission,1,False,95,TKO,0.0
Ravil Risaev,5,0.0,TKO,1,False,1238,Davrbek Isakov,33,0.5454545454545454,TKO,2,True,42,TKO,0.0
Oleg Olenichev,20,0.7,TKO,5,True,288,Roman Gudochkin,17,0.7058823529411765,TKO,3,True,70,Submission,1.0
Oleg Olenichev,18,0.6666666666666666,Split Decision,3,True,189,Aleksander Podmarev,9,0.7777777777777778,Split Decision,5,False,175,Split Decision,1.0
Oleg Olenichev,16,0.6875,Split Decision,3,True,175,Sergey Martynov,12,0.8333333333333334,TKO,2,True,110,TKO,0.0
Oleg Olenichev,14,0.6428571428571429,TKO,3,False,154,Silmar Nunes,51,0.7254901960784313,Submission,2,True,188,Split Decision,1.0
Oleg Olenichev,12,0.6666666666666666,Submission,3,True,40,Enoc Solves Torres,29,0.6896551724137931,TKO,1,True,250,Split Decision,1.0
Oleg Olenichev,8,0.625,Split Decision,3,True,98,Kiamrian Abbasov,16,0.8125,Submission,3,True,35,Split Decision,0.0
Oleg Olenichev,8,0.625,Split Decision,3,True,98,Eduardo Andrade,6,0.6666666666666666,Submission,1,True,189,TKO,1.0
Oleg Olenichev,6,0.6666666666666666,TKO,1,False,91,Karim Magomedov,3,1.0,KO,2,True,148,Split Decision,0.0
Oleg Olenichev,19,0.6842105263157895,Split Decision,3,True,83,Vladimir Seliverstov,11,0.9090909090909091,KO,1,True,210,TKO,1.0
Oleg Olenichev,17,0.6470588235294118,TKO,2,False,133,Stepan Gorshechnikov,6,0.8333333333333334,Split Decision,3,True,106,Split Decision,1.0
Oleg Olenichev,15,0.6666666666666666,Split Decision,3,True,36,Vitaliy Slipenko,11,0.8181818181818182,Split Decision,3,False,72,Split Decision,1.0
Oleg Olenichev,13,0.6923076923076923,Split Decision,3,True,148,Joe Riggs,58,0.7068965517241379,TKO,2,True,48,TKO,0.0
Oleg Olenichev,11,0.6363636363636364,Submission,2,True,140,Azamat Amagov,9,1.0,TKO,1,True,231,Submission,1.0
Oleg Olenichev,8,0.625,Split Decision,3,True,98,Vasiliy Kurochkin,9,0.8888888888888888,Split Decision,2,True,42,Submission,1.0
Oleg Olenichev,7,0.5714285714285714,Split Decision,3,False,133,Dmitry Aryshev,9,0.4444444444444444,Submission,2,True,77,Split Decision,1.0
Oleg Olenichev,5,0.8,TKO,1,True,175,Jun Yong Park,4,0.5,Split Decision,3,False,84,TKO,0.0
Oleg Olenichev,3,0.6666666666666666,Split Decision,3,False,175,Nuerla  Murati,2,0.0,Submission,1,False,48,Submission,1.0
Oleg Olenichev,1,1.0,Submission,1,True,330,Alexander Chernov,1,1.0,Submission,1,True,148,Split Decision,1.0
Vadim Sandulskiy,11,0.6363636363636364,Split Decision,3,False,862,Vasiliy Zubkov,15,0.6666666666666666,Split Decision,3,True,147,Split Decision,1.0
Vadim Sandulskiy,7,0.7142857142857143,Submission,1,True,63,Evgeni Fomenko,20,0.5,Submission,2,False,84,TKO,1.0
Vadim Sandulskiy,5,0.6,Submission,1,True,48,Ivan Zagubinoga,16,0.375,Split Decision,2,False,230,Submission,1.0
Vadim Sandulskiy,3,0.3333333333333333,Submission,1,True,21,Sergey Veselov,1,1.0,Submission,2,True,363,Submission,1.0
Vadim Sandulskiy,1,0.0,Submission,1,False,198,Vladimir Katykhin,17,0.7647058823529411,Submission,2,True,37,Submission,0.0
Vadim Sandulskiy,10,0.7,TKO,1,True,39,Tursunbek Asylgaziev,10,0.6,Split Decision,3,True,27,Split Decision,0.0
Vadim Sandulskiy,6,0.6666666666666666,Submission,1,True,71,Bagautdin Abasov,6,0.8333333333333334,KO,1,True,77,Submission,1.0
Vadim Sandulskiy,4,0.5,Submission,1,True,169,Artiom Yamschitov,2,1.0,Split Decision,3,True,259,Submission,1.0
Artiom Cula,7,0.42857142857142855,Submission,2,True,434,Ion Surdu,5,0.8,TKO,1,False,224,Split Decision,0.0
Artiom Cula,5,0.4,KO,1,False,343,Arslan Eslemesov,8,0.75,Submission,1,True,97,Submission,0.0
Artiom Cula,3,0.6666666666666666,TKO,2,False,762,Corey Watson,4,0.75,Submission,2,True,357,Submission,0.0
Artiom Cula,6,0.3333333333333333,Submission,1,False,119,Nick Coughran,5,0.2,Split Decision,3,False,392,Submission,1.0
Artiom Cula,4,0.5,Submission,3,False,231,Dylan Potter,1,1.0,Submission,1,True,77,KO,0.0
Ed Ruth,10,0.8,Split Decision,3,False,203,Taylor Johnson,6,0.8333333333333334,Submission,1,False,402,Submission,0.0
Ed Ruth,8,0.875,TKO,2,True,105,Jason Jackson,16,0.625,Split Decision,5,True,105,Split Decision,1.0
Ed Ruth,6,1.0,TKO,2,True,169,Neiman Gracie,8,1.0,Submission,2,True,231,Submission,0.0
Ed Ruth,4,1.0,KO,2,True,154,Ion Pascu,24,0.7083333333333334,Split Decision,3,True,147,Split Decision,1.0
Ed Ruth,2,1.0,TKO,1,True,132,David Mundell,12,0.75,Submission,1,False,140,TKO,1.0
Ed Ruth,7,0.8571428571428571,Submission,4,False,209,Kiichi Kunimoto,27,0.7407407407407407,Submission,1,True,334,TKO,1.0
Ed Ruth,5,1.0,Split Decision,3,True,84,Andy Murad,18,0.8888888888888888,Submission,1,True,377,TKO,1.0
Ed Ruth,3,1.0,TKO,2,True,196,Chris Dempsey,17,0.7647058823529411,KO,1,False,517,KO,1.0
Ed Ruth,1,1.0,TKO,1,True,36,Emanuele Palombi,7,0.7142857142857143,TKO,1,True,35,TKO,1.0
Erick Silva,20,0.65,Split Decision,3,False,126,Paul Daley,56,0.6785714285714286,Split Decision,5,False,126,Split Decision,0.0
Erick Silva,18,0.6666666666666666,Split Decision,3,False,216,Nick Barnes,16,0.8125,KO,2,False,189,Submission,1.0
Erick Silva,15,0.8,Split Decision,3,False,574,Matt Brown,21,0.47619047619047616,KO,2,True,518,TKO,0.0
Erick Silva,14,0.8571428571428571,Submission,1,True,714,Jon Fitch,20,0.75,Split Decision,3,True,931,Split Decision,0.0
Erick Silva,12,0.8333333333333334,TKO,2,True,91,Francisco Ayon,5,0.6,KO,1,True,91,Submission,1.0
Erick Silva,11,0.8181818181818182,No Contest,2,False,154,Jose de Ribamar Machado Gomes,29,0.8620689655172413,Split Decision,3,True,51,TKO,1.0
Erick Silva,9,0.8888888888888888,Submission,2,True,133,Jorge Luis Bezerra,11,0.6363636363636364,Split Decision,3,False,148,Split Decision,1.0
Erick Silva,7,0.8571428571428571,Submission,3,True,105,Igor Fernandes,5,0.8,Submission,2,True,147,Split Decision,1.0
Erick Silva,5,0.8,Split Decision,3,False,237,Fabio Issa,4,0.5,Split Decision,3,False,244,Split Decision,1.0
Erick Silva,1,1.0,Submission,1,True,217,Julian Fabrin Soares,2,0.0,TKO,1,False,294,KO,1.0
Erick Silva,17,0.7058823529411765,Split Decision,3,False,846,Jordan Mein,37,0.7837837837837838,TKO,1,True,1211,Split Decision,0.0
Erick Silva,16,0.75,TKO,3,False,470,Neil Magny,22,0.7727272727272727,Submission,2,False,22,Split Decision,0.0
Erick Silva,12,0.8333333333333334,TKO,2,True,91,Gil de Freitas,14,0.8571428571428571,Split Decision,3,True,161,Submission,1.0
Erick Silva,10,0.9,Split Decision,3,True,161,Henrique Gomes de Oliveira,8,0.625,Split Decision,3,False,133,No Contest,0.0
Erick Silva,8,0.875,Split Decision,3,True,238,Carlos Villamor,1,1.0,Submission,1,True,378,Submission,1.0
Erick Silva,6,0.8333333333333334,Split Decision,0,True,301,Carlos Eduardo Santos,5,0.2,Submission,1,True,7,Submission,1.0
Erick Silva,4,1.0,Submission,1,True,15,Mario Neto,1,0.0,KO/TKO,2,False,78,Split Decision,0.0
Erick Silva,2,1.0,KO,1,True,217,Henrique Lango,5,0.6,Split Decision,3,False,217,Submission,1.0
Nathan Oliveira,9,0.6666666666666666,Submission,1,False,490,Julio Cesar Araujo Fernandes,9,0.8888888888888888,Split Decision,3,True,1204,Split Decision,0.0
Nathan Oliveira,7,0.8571428571428571,KO,2,True,286,Marcus      Vinicius,9,0.5555555555555556,TKO,1,True,246,TKO,0.0
Nathan Oliveira,3,1.0,TKO,1,True,154,Felipe Alves,12,0.4166666666666667,Split Decision,3,False,182,KO,1.0
Nathan Oliveira,8,0.75,TKO,1,False,77,Lucas Costa Jesus,6,0.16666666666666666,TKO,1,False,133,Submission,0.0
Nathan Oliveira,6,0.8333333333333334,Submission,1,False,86,Alberto Antonio,8,0.75,Submission,1,True,470,KO,1.0
Roberto Soldic,19,0.8421052631578947,KO,1,True,119,Michal Pietrzak,11,0.7272727272727273,Split Decision,3,True,106,Split Decision,1.0
Roberto Soldic,17,0.8235294117647058,KO,3,True,56,Vinicius Bohrer,22,0.7272727272727273,Submission,2,True,196,KO,1.0
Roberto Soldic,15,0.8666666666666667,TKO,3,True,112,Dricus Du Plessis,12,0.9166666666666666,Submission,1,True,238,TKO,0.0
Roberto Soldic,13,0.8461538461538461,TKO,1,True,28,Lewis Long,19,0.7894736842105263,TKO,1,True,161,KO,1.0
Roberto Soldic,11,0.8181818181818182,TKO,3,True,119,Slobodan Vukic,10,0.0,TKO,1,False,30,KO,1.0
Roberto Soldic,9,0.7777777777777778,TKO,1,True,77,Ivica Truscek,59,0.5254237288135594,Split Decision,3,False,29,TKO,1.0
Roberto Soldic,5,0.8,Split Decision,2,False,88,Sasa Drobac,4,0.75,TKO,2,True,307,Split Decision,1.0
Roberto Soldic,3,1.0,KO,1,True,55,Vladimir Prodanovic,5,0.6,TKO,1,True,57,TKO,1.0
Roberto Soldic,18,0.8333333333333334,KO,1,True,168,Krystian Kaszubowski,7,1.0,KO,1,True,168,KO,1.0
Roberto Soldic,16,0.8125,TKO,2,False,175,Dricus Du Plessis,13,0.9230769230769231,TKO,2,True,175,KO,1.0
Roberto Soldic,14,0.8571428571428571,KO,1,True,70,Borys Mankowski,26,0.7307692307692307,Split Decision,3,False,210,TKO,1.0
Roberto Soldic,12,0.8333333333333334,KO,1,True,70,Dez Parker,21,0.6666666666666666,TKO,2,False,118,TKO,1.0
Roberto Soldic,10,0.8,TKO,1,True,84,Rafal Lewon,18,0.7222222222222222,Submission,1,True,133,TKO,1.0
Roberto Soldic,8,0.75,Split Decision,3,False,105,Pascal Kloser,16,0.5625,TKO,1,True,20,TKO,1.0
Roberto Soldic,6,0.8333333333333334,Split Decision,3,True,134,Vaso Bakocevic,33,0.696969696969697,TKO,1,True,85,TKO,1.0
Roberto Soldic,4,1.0,TKO,2,True,79,Marko Radakovic,2,1.0,TKO,2,True,134,Split Decision,0.0
Roberto Soldic,2,1.0,Submission,1,True,84,Savo Lazic,1,1.0,Submission,1,True,147,KO,1.0
Maxim Konovalov,15,0.7333333333333333,Split Decision,3,False,129,Vasiliy Kurochkin,19,0.7368421052631579,TKO,1,True,49,Split Decision,0.0
Maxim Konovalov,13,0.7692307692307693,TKO,1,True,173,Khayal Iskenderov,9,0.6666666666666666,TKO,2,False,385,TKO,1.0
Maxim Konovalov,11,0.7272727272727273,TKO,1,True,105,Bektursun Turdaliev,6,0.8333333333333334,Split Decision,3,True,91,TKO,1.0
Maxim Konovalov,9,0.7777777777777778,Split Decision,3,True,114,Evgeny Bondar,4,1.0,KO,1,True,175,Split Decision,0.0
Maxim Konovalov,7,0.7142857142857143,Split Decision,3,False,211,Namozali Mekhridini,2,1.0,TKO,1,True,175,Submission,1.0
Maxim Konovalov,3,1.0,TKO,1,True,147,Vladimir Vasilyev,1,1.0,Split Decision,1,True,266,KO,1.0
Maxim Konovalov,1,1.0,TKO,1,True,141,Kurban Radzhabov,1,1.0,Split Decision,3,True,225,TKO,1.0
Maxim Konovalov,16,0.6875,Split Decision,3,False,78,Ivan Sergeevich Bogdanov,9,0.8888888888888888,TKO,3,True,109,Split Decision,1.0
Maxim Konovalov,14,0.7857142857142857,TKO,2,True,193,Vasiliy Kurochkin,17,0.7058823529411765,Split Decision,3,True,73,Split Decision,0.0
Maxim Konovalov,10,0.7,Split Decision,3,False,56,Safarbek Sangov,6,0.6666666666666666,Split Decision,3,True,197,TKO,1.0
Maxim Konovalov,8,0.75,Submission,1,True,180,Viskhan Amirkhanov,6,0.8333333333333334,Submission,1,True,711,Split Decision,1.0
Maxim Konovalov,6,0.8333333333333334,Submission,1,False,77,Sadrudin Vakhidov,2,0.5,Submission,1,True,414,Split Decision,0.0
Maxim Konovalov,4,1.0,KO,1,True,8,Airat Shangaraev,1,1.0,Submission,2,True,30,TKO,1.0
Diego Gonzalez,34,0.5882352941176471,Split Decision,3,False,286,Ikram Aliskerov,9,0.8888888888888888,KO,1,False,252,TKO,0.0
Diego Gonzalez,32,0.59375,Split Decision,3,False,565,Mostafa Rashed Neda,6,0.8333333333333334,TKO,2,False,472,Submission,1.0
Diego Gonzalez,30,0.6,Submission,2,True,276,Carlos Moyano,7,0.5714285714285714,Split Decision,3,False,164,Submission,1.0
Diego Gonzalez,26,0.5769230769230769,KO,1,False,161,Frodi Vitalis Hansen,14,0.5,Disqualification,1,False,42,Submission,1.0
Diego Gonzalez,24,0.625,TKO,2,False,41,David Bielkheden,28,0.5714285714285714,Split Decision,3,False,251,Split Decision,0.0
Diego Gonzalez,22,0.6818181818181818,Submission,2,True,91,Ivan Buchinger,21,0.8571428571428571,Submission,1,True,35,TKO,0.0
Diego Gonzalez,20,0.7,Submission,1,True,78,Andre Winner,20,0.75,Split Decision,3,True,91,Split Decision,0.0
